Date,unemp,unemp_flag,sp500,baa,baa_flag
1950-02-01,6.4,0.0,0.0,0.0,0.0
1950-02-02,4.973997881826022,0.22953855824328676,0.010501864989667481,0.00029312473933690433,-0.008817879064888326
1950-02-03,4.971186933528846,0.22951551910278026,0.003476328674451015,0.000295027235153855,-0.008812376063776297
1950-02-06,4.9627745539046035,0.2294464122415617,0.0017335328679789542,0.0003007321496778193,-0.00879587356967707
1950-02-07,4.959977244385263,0.22942338014112554,-0.005209861542429983,0.000302632930318462,-0.008790374907550025
1950-02-08,4.957183341010116,0.22940034980060942,-0.001161466945968696,0.0003045332822462409,-0.008784877329789532
1950-02-09,4.954392842359053,0.2293773212199741,0.004059246086297248,0.000306433205493641,-0.008779380836243716
1950-02-10,4.951605747011967,0.22935429439918062,-0.0023175511530002064,0.00030833270009314765,-0.008773885426760702
1950-02-14,4.940491370261274,0.22926220471364372,-0.010495741200472638,0.0003159263926619433,-0.008751914626419109
1950-02-15,4.937721270132476,0.22923918669147336,0.0,0.00031782374450926057,-0.008746424634971942
1950-02-16,4.934954564787016,0.22921617042891052,-0.004111588546587014,0.0003197206679035956,-0.008740935726676313
1950-02-17,4.9321912528047855,0.22919315592591602,0.009373229156537304,0.0003216171628774336,-0.008735447901380347
1950-02-20,4.923921662836405,0.2291241229739523,0.0029112768075353446,0.0003273040776008179,-0.00871899092197166
1950-02-21,4.9211719101060245,0.22910111550884077,-0.0017457488235225113,0.0003291988592175201,-0.008713507427155577
1950-02-23,4.915682562013245,0.22905510585669783,0.0023268776732126304,0.0003329871377091969,-0.00870254368409237
1950-02-24,4.912942963810631,0.22903210366958834,0.004059246086297248,0.00033488063464914185,-0.008697063435541493
1950-02-27,4.904744455536611,0.22896310766363895,0.0,0.0003405585566352261,-0.00868062917998924
1950-02-28,4.902018376822855,0.22894011251331864,-0.003478343987639026,0.00034245034112762116,-0.00867515325766569
1950-03-01,6.3,0.0,0.0011607928346388217,0.0,0.0
1950-03-02,4.896576346941078,0.22889412748993793,-0.0005802279873282024,0.00034623262605287347,-0.008664204656398146
1950-03-03,4.893860392932844,0.2288711376167994,0.003476328674451015,0.00034812312655070095,-0.008658731977150391
1950-03-06,4.885732757597468,0.22880217855112228,0.0017335328679789542,0.0003537920605748116,-0.008642320423128685
1950-03-07,4.883030283315099,0.22877919571367916,-0.006952457338088844,0.0003556808495346753,-0.00863685206585571
1950-03-08,4.880331175413928,0.22875621463506232,-0.0005815777136697547,0.000357569210691261,-0.00863138478869674
1950-03-09,4.8776354324738485,0.22873323531523262,-0.007005331534234187,0.0003594571440770541,-0.0086259185914999
1950-03-10,4.8749430530747535,0.22871025775415105,0.0011709871275418417,0.0003613446497245397,-0.008620453474113304
1950-03-13,4.866886081922313,0.2286413356230041,0.001753913678247986,0.00036700460056200343,-0.008604064599296255
1950-03-14,4.864207142486092,0.22861836509652417,0.007564723743131407,0.00036889039558111114,-0.00859860379963189
1950-03-15,4.861531559490319,0.22859539632859713,0.01152754889252507,0.00037077576302433745,-0.008593144079018395
1950-03-16,4.858859331514893,0.22857242931918373,0.00228958357417683,0.0003726607029241675,-0.008587685437303883
1950-03-17,4.856190457139701,0.22854946406824506,-0.002289583574176785,0.00037454521531308664,-0.00858222787433649
1950-03-20,4.848203941414482,0.2284805788658862,-0.0005732432664909448,0.00038019618773923016,-0.008565861656398204
1950-03-21,4.845548467239168,0.22845762064845554,0.0005732432664908543,0.0003820789904093574,-0.00856040840690049
1950-03-22,4.842896339563558,0.22843466418930425,0.005714214069646438,0.0003839613657309999,-0.008554956235390503
1950-03-23,4.840247556967545,0.22841170948839315,0.0005696513541258182,0.0003858433137366425,-0.008549505141716363
1950-03-24,4.837602118031019,0.22838875654568333,0.0,0.0003877248344587708,-0.008544055125726202
1950-03-27,4.829685848977306,0.2283199082663706,-0.0057110598179127055,0.0003933668332489206,-0.008527711542340794
1950-03-28,4.827053770477665,0.22829696235607508,0.004001240127126773,0.00039524664516184303,-0.008522265835567762
1950-03-29,4.82442502853698,0.22827401820378546,-0.005147288999477512,0.000397126029953677,-0.008516821205719319
1950-03-30,4.821799621735142,0.22825107580946272,-0.008059991700216998,0.0003990049876569078,-0.008511377652643592
1950-03-31,4.819177548652044,0.2282281351730677,-0.0005781047567247589,0.0004008835183040206,-0.0085059351761887
1950-04-03,4.811331317514123,0.22815932381105902,0.01378538545641932,0.0004065165482335034,-0.00848961420503028
1950-04-04,4.808722565104918,0.22813639020598456,0.0011401683366600301,0.0004083933709809964,-0.008484176033539967
1950-04-05,4.806117139313918,0.22811345835864266,0.004548042367662316,0.0004102697668347976,-0.008478738937911108
1950-04-06,4.8035150387210175,0.2280905282689942,0.008472319897537571,0.00041214573582739207,-0.008473302917991825
1950-04-10,4.793139859928268,0.22799882548655326,0.003929260891760599,0.0004196453438354074,-0.008451569592372917
1950-04-11,4.790554364024259,0.22797590418478597,-0.005618013675076122,0.0004215191790092466,-0.008446138948723364
1950-04-12,4.7879721847977095,0.2279529846404777,0.010647370478322756,0.00042339258751679045,-0.008440709379872124
1950-04-13,4.785393320828508,0.22793006685358946,0.0022271171841228015,0.00042526556939052407,-0.008435280885667322
1950-04-14,4.7828177706965525,0.2279071508240822,-0.0011129916857281384,0.00042713812466293284,-0.008429853465957085
1950-04-17,4.775110989123079,0.22783841327945523,-0.004464289089766179,0.0004327532311970612,-0.008413577652274969
1950-04-18,4.772548680139029,0.22781550427908104,0.008354352490349241,0.0004346240803890222,-0.00840815452902421
1950-04-19,4.7699896778916875,0.22779259703589247,0.0011085672120499654,0.00043649450314208426,-0.008402732479508625
1950-04-20,4.767433980960949,0.22776969154985044,-0.006670337873333456,0.00043836449948873266,-0.008397311503576341
1950-04-21,4.764881587926708,0.22774678782091592,0.001671707260700422,0.0004402340694614526,-0.008391891601075483
1950-04-24,4.757244218001886,0.22767808717636678,-0.007264584302058143,0.00044584022146089365,-0.008375638332642687
1950-04-25,4.754705026352558,0.22765519047547164,0.0,0.0004477080862627519,-0.008370222722348756
1950-04-26,4.752169131499191,0.2276322955314887,-0.003933677144569337,0.0004495755248531077,-0.008364808184726865
1950-04-27,4.749636532021677,0.22760940234437887,0.00561485917105733,0.00045144253726444634,-0.00835939471962514
1950-04-28,4.747107226499912,0.22758651091410315,0.005583402275570134,0.000453309123529253,-0.0083539823268917
1950-05-01,5.5,0.0,0.014372842247307812,0.006172859107081016,0.0
1950-05-02,4.737022915568184,0.22749496276055958,-0.006055548547667888,0.0004607712077728644,-0.008332343476603266
1950-05-03,4.7345100585235524,0.2274720801138683,0.008796089847615724,0.0004626356637922896,-0.00832693644343311
