,growth,inflation,combined
2000-08-31,,0.12738374472879954,-0.7260973964737514
2000-09-01,,0.25091454872631375,-0.7088452146771079
2000-09-05,,0.9654998444145957,-0.6090469859642877
2000-09-06,,1.9188960991325783,-0.4758966705906045
2000-09-08,,4.290268377170129,-0.14471331935905488
2000-09-11,,1.2660770585303815,-0.5670686892638265
2000-09-12,,4.106014707713394,-0.17044599250048625
2000-09-13,,2.6915875684040174,-0.36798339496054633
2000-09-14,,1.7234639784868662,-0.503190514435021
2000-09-18,,2.2771090108834073,-0.4258690331476014
2000-09-19,,4.128702731662271,-0.16727740700515906
2000-09-20,,4.003142119792695,-0.18481306962834818
2000-09-21,,4.735340950750021,-0.08255495315709285
2000-09-22,,-0.8398827338153279,-0.8611848126778769
2000-09-25,-0.46193105785379424,-2.8536822721221013,-0.7754938775004333
2000-09-26,-0.8733409915252204,-3.73062435998511,-1.0759257934951525
2000-09-27,-0.8055425997059831,-3.2553013579047065,-1.0033159610759563
2000-09-28,,-2.825638423119659,-1.1385133578421003
2000-09-29,-0.7240217204741067,7.126993842496958,-0.23092917110440273
2000-10-02,-0.46399929595250167,8.071599367517067,-0.013789704691372612
2000-10-03,0.07059995676267,11.087037044517661,0.5075950327323878
2000-10-04,0.01992338637020738,10.78978019816686,0.4573741669960635
2000-10-05,-0.2098740189678908,9.578620559935,0.23919432413238984
2000-10-06,-0.5821015221657743,7.658474889302512,-0.11130311358647887
2000-10-09,,7.559553398327835,0.3118715785356532
2000-10-10,-0.41132507763528603,9.679393683646943,0.1291067425706124
2000-10-11,0.09067770334173958,11.671386620831072,0.560073144069477
2000-10-12,0.05567337861859357,12.574444598732196,0.6027815408424126
2000-10-13,,17.746124857479508,1.7345174046028184
2000-10-16,1.1302622714513917,15.309399388966668,1.4185326153673956
2000-10-17,0.29759939791879075,11.102057540210097,0.6406223616039982
2000-10-18,0.2035404425513207,11.01792701433483,0.5800612884245963
2000-10-19,0.422181224749812,11.039516264321797,0.7086875495225631
2000-10-20,0.1528213816946445,,0.30628162458548114
2000-10-23,0.6592686884508219,9.325242423179574,0.7268243866896642
2000-10-24,0.34529785088260345,,0.5300949257043336
2000-10-25,0.17824594106382854,8.313603595377282,0.37651347780179356
2000-10-26,0.054379056451776736,6.747517170334252,0.19513774688948243
2000-10-27,0.4001073558223791,7.787843136050892,0.4687910870285298
2000-10-30,-0.3458883744139368,3.9254529175809667,-0.23464272484625653
2000-11-01,-0.27408112070100354,,-0.19012429308419954
2000-11-02,-0.03709448597822715,4.210509045994114,-0.03520330519958868
2000-11-03,-0.3048228248797312,,-0.2258710122716829
2000-11-06,-0.2473237741305119,3.8308676254453156,-0.18394168157593238
2000-11-07,-0.09419490100839872,4.803392800357177,-0.027000973229079614
2000-11-08,0.09876782352181772,6.046192867862807,0.1719724616013418
2000-11-09,0.03501224938841607,6.547909680351934,0.16993931584972172
2000-11-13,0.23782397870813965,7.8279962698724495,0.3772427027750712
2000-11-14,0.35648454252495304,8.546627307015719,0.49641409346352583
